"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"Insidious: The Last Key",2018,"sequel","33","49","41",56,"53","3","55","-14",NA,"horror","29581355","29.6","67347895",67,"100","100353053","167700948","1677","59.84%","10","1677.01%","295.81%",NA,NA,"https://www.amazon.com/Insidious-Last-Key-Lin-Shaye/dp/B0786WX8DZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975066&sr=1-2&keywords=Insidious3A+The+Last+Key",NA,NA,NA,NA,"Jan 5, 2018",NA
"Instant Family",2018,"based on a true story","82","57","70",79,"70","9","75","-5",NA,"comedy","14504315","14.5","66220028",66,"10","9724832","75944860","759","12.81%","48","158.22%","30.22%",NA,NA,"https://www.amazon.com/Instant-Family-Mark-Wahlberg/dp/B07KFQCLGP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975078&sr=1-1&keywords=Instant+Family",NA,NA,NA,NA,"Nov 16, 2018",NA
"Isle of Dogs",2018,"original screenplay","90","82","86",88,"81","7","85","2",NA,"comedy","1620294","1.6","32014532",32,"32","32133161","64147693","641","50.09%","-","-","-",NA,NA,"https://www.amazon.com/Isle-Dogs-Bryan-Cranston/dp/B07C4825LL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975090&sr=1-2&keywords=Isle+of+Dogs",NA,NA,NA,NA,"Mar 23, 2018",NA
"Jurassic World: Fallen Kingdom",2018,"sequel","50","51","51",54,"58","-4","56","-6",NA,"action","148024610","148.0","413080780",413,"882","881574397","1294655177","12947","68.09%","170","761.56%","87.07%",NA,NA,"https://www.amazon.com/Jurassic-World-Kingdom-Chris-Pratt/dp/B07DRD1SP2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975101&sr=1-2&keywords=Jurassic+World3A+Fallen+Kingdom",NA,NA,NA,NA,"Jun 22, 2018",NA
"La Boda de Valentina",2018,"original screenplay","22","-","-",29,"-","-","-","-",NA,"romance, comedy","1147073","1.1","2783739",3,"0","0","2783739","28","0","2.48","112.25%","46.25%",NA,NA,"https://www.amazon.com/Boda-Valentina-Omar-Chaparro/dp/B07GDV2SSL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975138&sr=1-2&keywords=La+Boda+de+Valentina",NA,NA,NA,NA,"Feb 9, 2018",NA
"Lean on Pete",2018,"adaptation","92","80","86",73,"75","-2","74","12",NA,"drama","46975","0.0","1163056",1,"0","0","1163056","12","0","8","14.54%","0.59%",NA,NA,"https://www.amazon.com/Lean-Pete-Charlie-Plummer/dp/B07BVTF9TG/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975150&sr=1-2&keywords=Lean+on+Pete",NA,NA,NA,NA,"Apr 27, 2018",NA
"Leave No Trace",2018,"adaptation","100","88","94",87,"78","9","83","12",NA,"drama","219140","0.2","5760845",6,"0","0","5760845","58","0","-","-","-",NA,NA,"https://www.amazon.com/Leave-No-Trace-Ben-Foster/dp/B07FCXVJJ7/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975172&sr=1-1&keywords=Leave+No+Trace",NA,NA,NA,NA,"Jun 29, 2018",NA
"Life of the Party",2018,"original screenplay","38","46","42",41,"46","-5","44","-2",NA,"comedy","17886075","17.9","52856061",53,"13","12800000","65656061","657","19.50%","30","218.85%","59.62%",NA,NA,"https://www.amazon.com/Life-Party-Melissa-McCarthy/dp/B07CX4ST91/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975618&sr=1-2&keywords=Life+of+the+Party",NA,NA,NA,NA,"May 11, 2018",NA
"Love, Simon",2018,"adaptation","92","72","82",89,"82","7","86","-4",NA,"drama","11756244","11.8","40826341",41,"25","25476084","66302425","663","38.42%","17","390.01%","69.15%",NA,NA,"https://www.amazon.com/Love-Simon-Nick-Robinson/dp/B07B427P5V/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975610&sr=1-2&keywords=Love2C+Simon",NA,NA,NA,NA,"Mar 16, 2018",NA
"Mamma Mia: Here We Go Again!",2018,"sequel","80","60","70",74,"68","6","71","-1",NA,"musical","34952180","35.0","115620025",116,"235","234951977","350572002","3506","67.02%","75","467.43%","46.60%",NA,NA,"https://www.amazon.com/Mamma-Mia-Here-We-Again/dp/B07FMTQX4X/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975594&sr=1-1&keywords=Mamma+Mia3A+Here+We+Go+Again21",NA,NA,NA,NA,"Jul 20, 2018",NA
"Mary Poppins Returns",2018,"sequel","78","66","72",69,"70","-1","70","3",NA,"musical","23523121","23.5","138729305",139,"119","119063315","257792620","2578","46.19%","130","198.30%","18.09%",NA,NA,"https://www.amazon.com/Mary-Poppins-Returns-Emily-Blunt/dp/B07LCZC7SR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975556&sr=1-1&keywords=Mary+Poppins+Returns",NA,NA,NA,NA,"Dec 19, 2018",NA
