"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"The Big Short",2015,"adaptation","87","81","84",89,"89","0","89","-5",NA,"drama","10531026","10.53","60900477",60.9,"41.80","41800000","102700477","103","40.70%","28","366.79%","37.61%","","","http://www.amazon.com/gp/product/B019969US8/?tag=titb-20",1,NA,NA,NA,"December 11, 2015",NA
"Paper Towns",2015,"adaptation","56","56","56",52,"64","-12","58","-2",NA,"drama","12650140","12.65","32000304",32,"53.51","53511996","85512300","86","62.58%","12","712.60%","105.42%","","","http://www.amazon.com/gp/product/B016VLE24Q/?tag=titb-20",1,NA,NA,NA,"Jul 24, 2015",NA
"In the Heart of the Sea",2015,"adaptation","43","47","45",57,"70","-13","64","-19",NA,"drama","11053366","11.05","24760350",24.76,"65.60","65600000","90360350","90","72.60%","100","90.36%","11.05%","","","http://www.amazon.com/gp/product/B0197GGS6M/?tag=titb-20",1,NA,NA,NA,"Dec 11, 2015",NA
"Brooklyn ",2015,"adaptation","97","87","92",87,"80","84","7","9",NA,"Drama","3946667","4","38322743",38.32,"23.75","23753398","38322767","38.32","0.00%","11","348%","35.88%","","","https://www.amazon.com/Brooklyn-Saoirse-Ronan/dp/B01A1IZLAO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218482&sr=1-1&keywords=Brooklyn",NA,NA,NA,NA,"Nov 4, 2015",NA
"Max",2015,"original screenplay","35","47","41",73,"56","17","65","-24",NA,"family","12155254","12.16","42656255",42.66,"1.3","1300000","43956255","44","2.96%","20","219.78%","60.78%","","","http://www.amazon.com/gp/product/B017C11VP2/?tag=titb-20",1,NA,NA,NA,"Jun 26, 2015",NA
"Alvin and the Chipmunks: The Road Chip",2015,"adaptation","16","33","25",52,"37","15","45","-20",NA,"family, comedy","14287159","14.29","85886987",85.89,"148.91","148911649","234798636","235","63.42%","90","260.89%","15.87%","","","http://www.amazon.com/gp/product/B019EKV4YC/?tag=titb-20",1,NA,NA,NA,"Dec 18, 2015",NA
"Pan",2015,"adaptation","26","36","31",50,"50","0","50","-19",NA,"fantasy","15315435","15.32","32371350",32.37,"81.60","81600000","113971350","114","71.60%","150","75.98%","10.21%","","","http://www.amazon.com/gp/product/B018JQTSPE/?tag=titb-20",1,NA,NA,NA,"Oct 9, 2015",NA
"Cinderella",2015,"adaptation","85","67","76",79,"76","3","78","-2",NA,"fantasy","67877361","67.88","201151353",201.15,"341.20","341200000","542351353","542","62.91%","95","570.90%","71.45%","","","http://www.amazon.com/gp/product/B010VAG5WA/?tag=titb-20",1,NA,NA,NA,"Mar 13, 2015",NA
"It Follows",2015,"original screenplay","96","83","90",65,"76","-11","71","19",NA,"horror","3811052","3.81","14674076",14.67,"1.6","1600000","16274076","16","9.83%","2","813.70%","190.55%","","","http://www.amazon.com/gp/product/B011KKEH70/?tag=titb-20",1,NA,NA,NA,"Mar 13, 2015",NA
"The Gallows",2015,"original screenplay","16","30","23",25,"69","-44","47","-24",NA,"horror","9808463","9.81","22764410",22.76,"15.40","15400000","38164410","38","40.35%","0.1","38164.41%","9808.46%","","","http://www.amazon.com/gp/product/B016KAAFEO/?tag=titb-20",1,NA,NA,NA,"July 10, 2015",NA
"The Visit",2015,"original screenplay","63","55","59",57,"65","-8","61","-2",NA,"horror","25427560","25.43","64704895",64.7,"26.23","26232544","90937439","91","28.85%","5","1818.75%","508.55%","","","http://www.amazon.com/gp/product/B0199693VM/?tag=titb-20",1,NA,NA,NA,"September 11, 2015",NA
"Crimson Peak",2015,"original screenplay","69","66","68",62,"73","-11","68","0",NA,"horror","13143310","13.14","27961325",27.96,"34.38","34377759","62339084","62","55.15%","55","113.34%","23.90%","","","http://www.amazon.com/gp/product/B016Q1LVIG/?tag=titb-20",1,NA,NA,NA,"October 16, 2015",NA
"The Lazarus Effect",2015,"original screenplay","14","31","23",23,"49","-26","36","-14",NA,"horror","10203437","10.2","25801047",25.8,"38.31","38309681","64110728","64","59.76%","3.3","1942.75%","309.20%","","","http://www.amazon.com/gp/product/B00ZRHRXXS/?tag=titb-20",1,NA,NA,NA,"February 27, 2015",NA
"Poltergeist",2015,"remake / reboot","31","47","39",23,"36","-13","30","10",NA,"horror","22260386","22.26","47425125",47.43,"48.01","48012869","95437994","95","50.31%","35","272.68%","63.60%","","","http://www.amazon.com/gp/product/B011AK040Y/?tag=titb-20",1,NA,NA,NA,"May 22, 2015",NA
"Sinister 2",2015,"sequel","14","32","23",34,"57","-23","46","-23",NA,"horror","10542116","10.54","27740955",27.74,"50","50000000","77740955","78","64.32%","10","777.41%","105.42%","","","http://www.amazon.com/gp/product/B019J76QLQ/?tag=titb-20",1,NA,NA,NA,"August 21, 2015",NA
"Paranormal Activity: The Ghost Dimension",2015,"sequel","11","30","21",33,"37","-4","35","-15",NA,"horror","8070493","8.07","16281378",16.28,"50.80","50800000","67081378","67","75.73%","10","670.81%","80.70%","","","http://www.amazon.com/gp/product/B018SSYB96/?tag=titb-20",1,NA,NA,NA,"October 23, 2015",NA
"Insidious: Chapter 3",2015,"sequel","60","52","56",54,"68","-14","61","-5",NA,"horror","22692741","22.69","52218558",52.22,"57.30","57300000","109518558","110","52.32%","10","1095.19%","226.93%","","","http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20",1,NA,NA,NA,"June 5, 2015",NA
"Goosebumps",2015,"adaptation","77","60","69",66,"70","-4","68","1",NA,"horror, comedy","23618556","23.62","57436461",57.44,"18.60","18600000","76036461","76","24.46%","58","131.10%","40.72%","","","http://www.amazon.com/gp/product/B016Q1LRPI/?tag=titb-20",1,NA,NA,NA,"October 16, 2015",NA
"Krampus",2015,"adaptation","65","49","57",60,"74","-14","67","-10",NA,"horror, comedy","16293325","16.29","42725475",42.73,"19.02","19020015","61745490","62","30.80%","15","411.64%","108.62%","","","http://www.amazon.com/gp/product/B016568H4S/?tag=titb-20",1,NA,NA,NA,"December 4, 2015",NA
"The Longest Ride",2015,"adaptation","30","33","32",73,"48","25","61","-29",NA,"romance","13019686","13.02","37446117",37.45,"25.50","25498698","62944815","63","40.51%","34","185.13%","38.29%","","","http://www.amazon.com/gp/product/B00VWQ2P8G/?tag=titb-20",1,NA,NA,NA,"April 10, 2015",NA
"Fifty Shades of Grey",2015,"adaptation","24","46","35",42,"31","11","37","-2",NA,"romance","85171450","85.17","166167230",166.17,"403.48","403484237","569651467","570","70.83%","40","1424.13%","212.93%","","","http://www.amazon.com/gp/product/B00VGRCBOY/?tag=titb-20",1,NA,NA,NA,"February 13, 2015",NA
"Big Stone Gap",2015,"adaptation","35","39","37",75,"50","25","63","-26",NA,"romance, comedy","362422","0","1009301",1,"0","0","1009301","1","0.00%","3.5","28.84%","10.35%","","","http://www.amazon.com/gp/product/B019PFW1OI/?tag=titb-20",1,NA,NA,NA,"October 9, 2015",NA
"Tomorrowland: A World Beyond",2015,"original screenplay","50","60","55",52,"64","-12","58","-3",NA,"sci-fi","33028165","33.03","93436322",93.44,"115.20","115200000","208636322","209","55.22%","190","109.81%","17.38%","","","http://www.amazon.com/gp/product/B015D4GZCE/?tag=titb-20",1,NA,NA,NA,"May 22, 2015",NA
"Jupiter Ascending",2015,"original screenplay","26","40","33",40,"45","-5","43","-10",NA,"sci-fi","18372372","18.37","47387723",47.39,"136.50","136500000","183887723","184","74.23%","176","104.48%","10.44%","","","http://www.amazon.com/gp/product/B00T9DLXYQ/?tag=titb-20",1,NA,NA,NA,"February 6, 2015",NA
"The Martian",2015,"adaptation","93","80","87",93,"81","12","87","-1",NA,"sci-fi","54308575","54.31","196841665",196.84,"262.02","262015153","458856818","459","57.10%","108","424.87%","50.29%","","","http://www.amazon.com/gp/product/B018HIZ65U/?tag=titb-20",1,NA,NA,NA,"October 2, 2015",NA
"Chappie",2015,"adaptation","31","41","36",57,"73","-16","65","-29",NA,"sci-fi, action","13346782","13.35","31569268",31.57,"70.50","70500000","102069268","102","69.07%","49","208.30%","27.24%","","","http://www.amazon.com/gp/product/B00ZRCSJ5E/?tag=titb-20",1,NA,NA,NA,"March 6, 2015",NA
"Mad Max: Fury Road",2015,"sequel","97","89","93",87,"87","0","87","6",NA,"Sci-Fi, Action","45428128","45.43","153636354",153.64,"221.10","221100000","374736354","375","59.00%","150","249.82%","30.29%","Oscar Winner","Costume Design, Film Editing, Make Up and Hair Styling, Production Design, Sound Editing, Sound Mixing","http://www.amazon.com/gp/product/B014QZ9D84/?tag=titb-20",1,NA,NA,NA,"May 15, 2015",NA
"Star Wars: Force Awakens",2015,"sequel","94","81","88",91,"70","21","81","7",NA,"sci-fi, fantasy","247966675","247.97","936662225",936.66,"1,131.56","1131561399","2068223624","2068","54.71%","200","1034.11%","123.98%","","","http://www.amazon.com/gp/product/B019EG160I/?tag=titb-20",1,NA,NA,NA,"December 18, 2015",NA
"Jurassic World",2015,"sequel","71","59","65",80,"69","11","75","-10",NA,"sci-fi, horror","208806270","208.81","652050585",652.05,"1,014.00","1014000000","1666050585","1666","60.86%","150","1110.70%","139.20%","","","http://www.amazon.com/gp/product/B016VLEH0A/?tag=titb-20",1,NA,NA,NA,"June 12, 2015",NA
"Self/less",2015,"original screenplay","21","34","28",49,"84","-35","67","-39",NA,"sci-fi, thriller","5403460","5","12279691",12,"0","21434136","12279691","12","174.55%","26","47.23%","20.78%","","","http://www.amazon.com/gp/product/B017QHDEW0/?tag=titb-20",1,NA,NA,NA,"July 10, 2015",NA
"Ex Machina",2015,"original screenplay","92","78","85",85,"80","5","83","3",NA,"sci-fi, thriller","5349500","5.35","25442958",25.44,"11.43","11426456","36869414","37","30.99%","15","245.80%","35.66%","Oscar Winner","Visual Effects","http://www.amazon.com/gp/product/B00VWQ3LQG/?tag=titb-20",1,NA,NA,NA,"April 10, 2015",NA
"McFarland",2015,"based on a true story","79","60","70",89,"73","16","81","-12",NA,"sports, drama","11020798","11.02","44482410",44.48,"1.2","1200000","45682410","46","2.63%","17","268.72%","64.83%","","","http://www.amazon.com/gp/product/B00YCVD78A/?tag=titb-20",1,NA,NA,NA,"February 20, 2015",NA
"The Perfect Guy",2015,"original screenplay","19","36","28",54,"29","25","42","-14",NA,"thriller","25888154","25.89","56667921",56.67,"2.31","2308735","58976656","59","3.91%","12","491.47%","215.73%","","","http://www.amazon.com/gp/product/B0159COAXQ/?tag=titb-20",1,NA,NA,NA,"September 11, 2015",NA
"The Gunman",2015,"adaptation","16","39","28",34,"45","-11","40","-12",NA,"thriller","5028702","5.03","10664749",10.66,"5.9","5900000","16564749","17","35.62%","40","41.41%","12.57%","","","http://www.amazon.com/gp/product/B00ZPWJU7C/?tag=titb-20",1,NA,NA,NA,"March 20, 2015",NA
"Secret in Their Eyes",2015,"adaptation","41","45","43",41,"43","-2","42","1",NA,"thriller","6652996","6.65","20047288",20.05,"9.3","9300000","29347288","29","31.69%","19.5","150.50%","34.12%","","","http://www.amazon.com/gp/product/B01BIKUOSI/?tag=titb-20",1,NA,NA,NA,"November 20, 2015",NA
"Blackhat",2015,"original screenplay","34","51","43",25,"53","-28","39","4",NA,"thriller","3901815","3.9","7889395",7.89,"9.86","9863545","17752940","18","55.56%","70","25.36%","5.57%","","","http://www.amazon.com/gp/product/B00VIF5AZ6/?tag=titb-20",1,NA,NA,NA,"January 16, 2015",NA
"The Boy Next Door",2015,"original screenplay","10","30","20",34,"54","-20","44","-24",NA,"thriller","14910105","14.91","35423380",35.42,"14.74","14739723","50163103","50","29.38%","4","1254.08%","372.75%","","","http://www.amazon.com/gp/product/B00USRETPM/?tag=titb-20",1,NA,NA,NA,"January 23, 2015",NA
"The Gift",2015,"original screenplay","94","77","86",78,"84","-6","81","5",NA,"thriller","11854273","11.85","43787265",43.79,"15.19","15191388","58978653","59","25.76%","5","1179.57%","237.09%","","","http://www.amazon.com/gp/product/B0178D8ZRG/?tag=titb-20",1,NA,NA,NA,"August 7, 2015",NA
"Everest",2015,"based on a true story","72","64","68",73,"72","1","73","-5",NA,"thriller","13242895","13.24","42390910",42.39,"134.50","134495740","176886650","177","76.03%","55","321.61%","24.08%","","","http://www.amazon.com/gp/product/B018JQRT6Y/?tag=titb-20",1,NA,NA,NA,"September 18, 2015",NA
"Bridge of Spies",2015,"based on a true story","92","81","87",98,"80","18","89","-3",NA,"thriller, history","15371203","15.37","72232000",72.23,"92.10","92100000","164332000","164","56.05%","40","410.83%","38.43%","Oscar Winner","Actor in a Supporting Role","http://www.amazon.com/gp/product/B01B5H1SIY/?tag=titb-20",1,NA,NA,NA,"October 16, 2015",NA
"Spotlight ",2015,"based on a true story","96","93","94.5",93,"81","12","87","8",NA,"drama","295009","0.3","17946804",17.95,"43.29","43290697","61237501","61.24","70.69%","20","306%","1.48%","Oscar Winner","Best Picture, Writing (original screenplay)","https://www.amazon.com/Spotlight-Mark-Ruffalo/dp/B01AZ86I2U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218519&sr=1-1&keywords=Spotlight",1,NA,NA,NA,"Nov 6, 2015",NA
"Carol",2015,"adaptation","94","95","94.5",73,"79","-6","76","19",NA,"drama","253510","0.25","7729016",7.73,"27.56","27560644","35289660","35.29","78.10%","12","294%","2.11%","","","https://www.amazon.com/Carol-Cate-Blanchett/dp/B01A9RC4RK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218077&sr=1-1&keywords=Carol",1,NA,NA,NA,"Nov 20, 2015",NA
"The Hunger Games: Mockingjay - Part 2",2015,"sequel","70","65","67.5",66,"67","-1","66.5","1",NA,"thriller","102665981","102.67","7538507",7.54,"371.70","371704359","379242866","379.24","98.01%","160","237%","64.17%","","","https://www.amazon.com/Hunger-Games-Mockingjay-Part/dp/B0186DGA92/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218061&sr=1-1&keywords=The+Hunger+Games3A+Mockingjay+-+Part+2",1,NA,NA,NA,"Nov 20, 2015",NA
"The Hateful Eight",2015,"original screenplay","77","69","73",77,"74","3","76","-3",NA,"western","4610676","4.61","52316982",52.32,"51.01","51007561","103324543","103","49.37%","44","234.83%","10.48%","","","http://www.amazon.com/gp/product/B01A1FDRP8/?tag=titb-20",1,NA,NA,NA,"December 25, 2015",NA
"Captain America: Civil War",2016,"sequel","90","75","82.5",89,"83","6","86","-4",NA,"Action","179139142","179.14","408084349",408.08,"745.22","745220146","1153304495","1153.3","64.62%","250","461%","71.66%","","","https://www.amazon.com/Captain-America-Civil-Bonus-Features/dp/B01F4BYO2E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219563&sr=1-1&keywords=Captain+America3A+Civil+War",NA,NA,NA,NA,"May 6, 2016",NA
"Finding Dory",2016,"sequel","94","77","85.5",86,"74","12","80","6",NA,"Adventure","135060273","135.06","486088707",486.09,"539.34","539342116","1025430823","1025.43","52.60%","200","513%","67.53%","","","https://www.amazon.com/Finding-Dory-Plus-Bonus-Content/dp/B01H2HGM0U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219571&sr=1-1&keywords=Finding+Dory",NA,NA,NA,NA,"Jun 17, 2016",NA
"Zootopia",2016,"original screenplay","98","78","88",93,"88","5","90.5","-3",NA,"Adventure","75063401","75.06","341268248",341.27,"682.49","682486254","1023754502","1023.75","66.67%","150","683%","50.04%","","","https://www.amazon.com/Zootopia-Theatrical-Ginnifer-Goodwin/dp/B01CIV3XCU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219530&sr=1-1&keywords=Zootopia",NA,NA,NA,NA,"Mar 4, 2016",NA
"The Jungle Book",2016,"adaptation","94","77","85.5",87,"75","12","81","5",NA,"Adventure","103261464","103.26","364001123",364,"602.52","602521065","966522188","966.52","62.34%","175","552%","59.01%","","","https://www.amazon.com/Jungle-Book-Theatrical-Bill-Murray/dp/B01E60ZAA4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219544&sr=1-1&keywords=The+Jungle+Book",NA,NA,NA,NA,"Apr 15, 2016",NA
"Batman v Superman: Dawn of Justice",2016,"sequel","27","44","35.5",64,"70","-6","67","-32",NA,"Action","166007347","166.01","330360194",330.36,"542.9","542900000","873260194","873.26","62.17%","250","349%","66.40%","","","https://www.amazon.com/Batman-v-Superman-Dawn-Justice/dp/B01DAWJ7C6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219522&sr=1-1&keywords=Batman+v+Superman3A+Dawn+of+Justice",NA,NA,NA,NA,"Mar 25, 2016",NA
"The Secret Life of Pets",2016,"original screenplay","74","61","67.5",64,"60","4","62","6",NA,"Adventure","104352905","104.35","367226855",367.23,"505.53","505525621","872752476","872.75","57.92%","75","1164%","139.14%","","","https://www.amazon.com/Secret-Life-Pets-Louis-C-K/dp/B01HOSMNYQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219554&sr=1-1&keywords=The+Secret+Life+of+Pets",NA,NA,NA,NA,"Jul 8, 2016",NA
"Rogue One",2016,"sequel","84","65","74.5",90,"78","12","84","-10",NA,"Adventure","155081681","155.08","451407837",451,"377.7","377700000","829107837","829.11","45.55%","200","415%","77.54%","","","https://www.amazon.com/Rogue-One-Story-Bonus-Content/dp/B01N4BO8N6/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1483640828&sr=1-2&keywords=Rogue+One",NA,NA,NA,NA,"Dec 16, 2016",NA
"Deadpool",2016,"adaptation","84","65","74.5",90,"81","9","85.5","-11",NA,"Action","132434639","132.43","363070709",363.07,"419.54","419541446","782612155","782.61","53.61%","58","1349%","228.34%","","","https://www.amazon.com/Deadpool-Ryan-Reynolds/dp/B01BHDEDW4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219537&sr=1-1&keywords=Deadpool",NA,NA,NA,NA,"Feb 12, 2016",NA
"Suicide Squad",2016,"adaptation","26","40","33",65,"64","1","64.5","-32",NA,"Action","133682248","133.68","325100054",325.1,"420.5","420500000","745600054","745.6","56.40%","175","426%","76.39%","","","https://www.amazon.com/Suicide-Squad-Will-Smith/dp/B01J7YLPGM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219513&sr=1-1&keywords=Suicide+Squad",NA,NA,NA,NA,"Aug 5, 2016",NA
"Fantastic Beasts & Where to Find Them",2016,"adaptation","74","66","70",82,"73","9","77.5","-8",NA,"Fantasy","74403387","74.4","208663096",209,"508.41","508409307","717072403","717.07","70.90%","180","398%","41.34%","","","https://www.amazon.com/Fantastic-Beasts-Where-Find-Them/dp/B01N0AEYU6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640814&sr=1-1&keywords=Fantastic+Beasts+26+Where+to+Find+Them",NA,NA,NA,NA,"Nov 18, 2016",NA
"X-Men: Apocalypse",2016,"sequel","48","52","50",68,"68","0","68","-18",NA,"Action","65769562","65.77","155442489",155.44,"388.49","388491616","543934105","543.93","71.42%","178","306%","36.95%","","","https://www.amazon.com/X-Men-Apocalypse-James-McAvoy/dp/B01FV2BH62/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219455&sr=1-1&keywords=X-Men3A+Apocalypse",NA,NA,NA,NA,"May 27, 2016",NA
"The Revenant",2016,"original screenplay","82","76","79",84,"80","4","82","-3",NA,"Adventure","39,826,840","40","183637894",183.64,"349.31","349312609","532950503","532.95","65.54%","135","395%","29.50%","Oscar Winner","Actor in a Leading Role, Cinematography, Directing","https://www.amazon.com/Revenant-Leonardo-Dicaprio/dp/B01AB7GOD8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219490&sr=1-1&keywords=The+Revenant",NA,NA,NA,NA,"Jan 8, 2016",NA
"Kung Fu Panda 3",2016,"sequel","87","66","76.5",79,"75","4","77","-1",NA,"Adventure","41282042","41.28","143528619",143.53,"376.35","376352736","519881355","519.88","72.39%","140","371%","29.49%","","","https://www.amazon.com/Kung-Fu-Panda-Jack-Black/dp/B01B5I1A5Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219446&sr=1-1&keywords=Kung+Fu+Panda+3",NA,NA,NA,NA,"Jan 29, 2016",NA
"Doctor Strange",2016,"adaptation","91","72","81.5",90,"84","6","87","-6",NA,"Adventure","85058311","85.06","155590962",155.59,"341.08","341075890","496666852","496.67","68.67%","165","301%","51.55%","","","https://www.amazon.com/Doctor-Strange-Plus-Bonus-Features/dp/B01M9IELLY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219463&sr=1-1&keywords=Doctor+Strange",NA,NA,NA,NA,"Nov 4, 2016",NA
"Warcraft",2016,"adaptation","28","32","30",73,"83","-10","78","-48",NA,"Action","24166110","24.17","47225655",47.23,"386.31","386311893","433537548","433.54","89.11%","160","271%","15.10%","","","https://www.amazon.com/Warcraft-Travis-Fimmel/dp/B01GPLDCPW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219007&sr=1-1&keywords=Warcraft",NA,NA,NA,NA,"Jun 10, 2016",NA
"Jason Bourne",2016,"sequel","56","58","57",59,"65","-6","62","-5",NA,"Action","59215365","59.22","162192920",162.19,"253.05","253050504","415243424","415.24","60.94%","120","346%","49.35%","","","https://www.amazon.com/Jason-Bourne-Matt-Damon/dp/B01J2KIHOO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219479&sr=1-1&keywords=Jason+Bourne",NA,NA,NA,NA,"Jul 29, 2016",NA
"Ice Age: Collision Course",2016,"sequel","13","34","23.5",40,"44","-4","42","-19",NA,"Adventure","21373064","21.37","64063008",64.06,"343.38","343383010","407446018","407.45","84.28%","105","388%","20.36%","","","https://www.amazon.com/Ice-Age-Collision-Ray-Romano/dp/B01IS5QPXE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219161&sr=1-1&keywords=Ice+Age3A+Collision+Course",NA,NA,NA,NA,"Jul 22, 2016",NA
"Moana",2016,"original screenplay","95","81","88",91,"77","14","84","4",NA,"Animation","56631401","56.63","216354281",216,"189.1","189100000","405454281","405.45","46.64%","150","270%","37.75%","","","https://www.amazon.com/Moana-Bonus-Content-Aulii-Cravalho/dp/B01MRNUJUO/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1483640905&sr=1-2&keywords=Moana",NA,NA,NA,NA,"Nov 23, 2016",NA
"Independence Day: Resurgence",2016,"sequel","31","32","31.5",32,"46","-14","39","-8",NA,"Action","41039944","41.04","103144286",103.14,"286.52","286523020","389667306","389.67","73.53%","165","236%","24.87%","","","https://www.amazon.com/Independence-Day-Resurgence-Liam-Hemsworth/dp/B01HDR3658/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1481219378&sr=1-2&keywords=Independence+Day3A+Resurgence",NA,NA,NA,NA,"Jun 24, 2016",NA
"The Legend of Tarzan",2016,"adaptation","35","44","39.5",62,"62","0","62","-23",NA,"Adventure","38527856","38.53","126643061",126.64,"230.1","230100000","356743061","356.74","64.50%","180","198%","21.40%","","","https://www.amazon.com/Legend-Tarzan-Alexander-SkarsgC3A5rd/dp/B01HPA2ZKA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219416&sr=1-1&keywords=The+Legend+of+Tarzan",NA,NA,NA,NA,"Jul 1, 2016",NA
"The Angry Birds Movie",2016,"adaptation","43","43","43",48,"64","-16","56","-13",NA,"Adventure","38155177","38.16","107509366",107.51,"242.21","242209939","349719305","349.72","69.26%","73","479%","52.27%","","","https://www.amazon.com/Angry-Birds-Movie-Theatrical/dp/B01FFU3U5G/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219392&sr=1-1&keywords=The+Angry+Birds+Movie",NA,NA,NA,NA,"May 20, 2016",NA
"Star Trek Beyond",2016,"sequel","84","68","76",81,"68","13","74.5","2",NA,"Adventure","59253211","59.25","158848340",158.85,"184.05","184049672","342898012","342.9","53.67%","185","185%","32.03%","","","https://www.amazon.com/Star-Trek-Beyond-John-Cho/dp/B01IG0GVUI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219470&sr=1-1&keywords=Star+Trek+Beyond",NA,NA,NA,NA,"Jul 22, 2016",NA
"Now You See Me 2",2016,"sequel","34","46","40",55,"64","-9","59.5","-20",NA,"thriller","22383146","22.38","65075540",65.08,"269.82","269819311","334894851","334.89","80.57%","90","372%","24.87%","","","https://www.amazon.com/Now-You-See-Me-2/dp/B01GPH7UFO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219173&sr=1-1&keywords=Now+You+See+Me+2",NA,NA,NA,NA,"Jun 10, 2016",NA
"The Conjuring 2: The Enfield Poltergeist",2016,"sequel","80","65","72.5",82,"77","5","79.5","-7",NA,"Horror","40406314","40.41","102470008",102.47,"217.7","217700000","320170008","320.17","68.00%","40","800%","101.02%","","","https://www.amazon.com/Conjuring-2-Vera-Farmiga/dp/B01GSUVRHA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219362&sr=1-1&keywords=The+Conjuring+2",NA,NA,NA,NA,"Jun 10, 2016",NA
"Alice Through the Looking Glass",2016,"adaptation","30","34","32",51,"60","-9","55.5","-24",NA,"Adventure","26858726","26.86","77042381",77.04,"222.34","222335940","299378321","299.38","74.27%","170","176%","15.80%","","","https://www.amazon.com/Alice-Through-Looking-Glass-Theatrical/dp/B01G2LIR6Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219246&sr=1-1&keywords=Alice+Through+the+Looking+Glass",NA,NA,NA,NA,"May 27, 2016",NA
"Sing",2016,"original screenplay","69","59","64",75,"52","23","63.5","1",NA,"Animation","35258145","35.26","187037310",187,"103.71","103705860","290743170","290.74","35.67%","75","388%","47.01%","","","https://www.amazon.com/Sing-Matthew-McConaughey/dp/B01NCIFSMT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641241&sr=1-1&keywords=Sing",NA,NA,NA,NA,"Dec 21, 2016",NA
"Miss Peregrine’s Home for Peculiar Children",2016,"adaptation","63","57","60",64,"69","-5","66.5","-7",NA,"Adventure","28871140","28.87","85218780",85.22,"172.65","172654320","257873100","257.87","66.95%","110","234%","26.25%","","","https://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/B01M0TWU6I/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219284&sr=1-1&keywords=Miss+PeregrineE28099s+Home+for+Peculiar+Children",NA,NA,NA,NA,"Sep 30, 2016",NA
"Teenage Mutant Ninja Turtles: Out of the Shadows",2016,"sequel","38","40","39",49,"57","-8","53","-14",NA,"Adventure","35316382","35.32","82051601",82.05,"163.57","163572247","245623848","245.62","66.59%","135","182%","26.16%","","","https://www.amazon.com/Teenage-Mutant-Ninja-Turtles-Shadows/dp/B01G7UJIVI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219275&sr=1-1&keywords=Teenage+Mutant+Ninja+Turtles3A+Out+of+the+Shadows",NA,NA,NA,NA,"Jun 3, 2016",NA
"Ghostbusters",2016,"adaptation","73","67","70",54,"86","-32","70","0",NA,"Comedy","46018755","46.02","128350574",128.35,"100.8","100796935","229147509","229.15","43.99%","144","159%","31.96%","","","https://www.amazon.com/Ghostbusters-Melissa-McCarthy/dp/B01I03E1G2/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219437&sr=1-1&keywords=Ghostbusters",NA,NA,NA,NA,"Jul 15, 2016",NA
